"id","title","key","cover","description"
"1","营养学入门","nutritionIntroduction","https://picsum.photos/id/237/300/200","本课程主要介绍营养学的基本概念和知识，包括营养素、代谢、能量等方面的内容。"
"2","健康饮食指南","healthydiet","https://picsum.photos/id/238/300/200","本课程主要介绍健康饮食的原则和方法，包括膳食平衡、食物搭配、烹饪技巧等方面的内容。"
"3","减肥秘籍","Slimming","https://picsum.photos/id/239/300/200","本课程主要介绍减肥的方法和技巧，包括饮食、运动、生活方式等方面的内容。"
"4","增肌训练指南","muscleBuilding","https://picsum.photos/id/240/300/200","本课程主要介绍增肌训练的方法和技巧，包括力量训练、营养补充、休息等方面的内容。"
"5","有氧运动指南","aerobicExercise","https://picsum.photos/id/241/300/200","本课程主要介绍有氧运动的种类和方法，包括跑步、游泳、骑车等方面的内容。"
"6","瑜伽入门","yogaIntroduction","https://picsum.photos/id/242/300/200","本课程主要介绍瑜伽的基本姿势和呼吸方法，包括放松、塑形、调节身心等方面的内容。"
"7","睡眠质量提升","sleepQuality","https://picsum.photos/id/243/300/200","本课程主要介绍提升睡眠质量的方法和技巧，包括睡前准备、睡眠环境、生活方式等方面的内容。"
"8","康复训练","rehabilitationTraining","https://picsum.photos/id/244/300/200","本课程主要介绍运动康复的方法和技巧，包括功能训练、柔韧性训练、平衡训练等方面的内容。"
"9","孕期健康运动","pregnancyExercise","https://picsum.photos/id/245/300/200","本课程主要介绍孕期健康运动的方法和技巧，包括孕妇瑜伽、孕妇游泳、孕妇体适能等方面的内容。"
"10","老年人健康运动","elderlyExercise","https://picsum.photos/id/246/300/200","本课程主要介绍老年人健康运动的方法和技巧，包括健身、散步、太极拳等方面的内容。"
"11","慢跑训练","joggingTraining","https://picsum.photos/id/247/300/200","本课程主要介绍慢跑训练的方法和技巧，包括初级、中级、高级等阶段的训练内容。"
"12","有氧健身操","aerobics","https://picsum.photos/id/248/300/200","本课程主要介绍有氧健身操的动作和技巧，包括基础动作、进阶动作、高级动作等方面的内容。"
"13","普拉提训练","pilatesTraining","https://picsum.photos/id/249/300/200","本课程主要介绍普拉提训练的方法和技巧，包括基础动作、中级动作、高级动作等方面的内容。"
"14","瑜伽高阶","advancedYoga","https://picsum.photos/id/250/300/200","本课程主要介绍瑜伽高阶动作的技巧和要点，包括倒立、后弯、前弯等难度较大的动作。"
"15","核心力量训练","coreStrength","https://picsum.photos/id/251/300/200","本课程主要介绍核心力量训练的方法和技巧，包括腹肌、背肌、臀肌等核心肌群的训练内容。"
"16","HIIT训练","HIITTraining","https://picsum.photos/id/252/300/200","本课程主要介绍HIIT训练的方法和技巧，包括燃脂、增肌、塑形等不同目的的训练方案。"
"17","短程游泳训练","shortSwimming","https://picsum.photos/id/253/300/200","本课程主要介绍短程游泳训练的方法和技巧，包括爬泳、自由泳、仰泳、蛙泳等不同泳姿的训练内容。"
"18","单车骑行训练","cyclingTraining","https://picsum.photos/id/254/300/200","本课程主要介绍单车骑行训练的方法和技巧，包括室内、室外骑行的训练方案和注意事项。"
"19","爬山徒步训练","hikingTraining","https://picsum.photos/id/255/300/200","本课程主要介绍爬山徒步训练的方法和技巧，包括攀登、行走、营地建设等方面的内容。"
"20","体能训练","physicalFitness","https://picsum.photos/id/256/300/200","本课程主要介绍体能训练的方法和技巧，包括力量、耐力、速度、柔韧等不同方面的训练内容。"
"21","舞蹈健身","danceFitness","https://picsum.photos/id/257/300/200","本课程主要介绍舞蹈健身的方法和技巧，包括拉丁舞、爵士舞、街舞等不同舞种的训练内容。"
